,cumulative_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_turnover,avg_gross_exposure,avg_net_exposure
mean_reversion,2.737618539120837,0.058335924439164355,0.15006244335756289,0.45247741984218987,-0.41545053388654385,0.3390734733238473,0.5232081911262798,0.051692067361831
momentum,0.007536596867428136,0.0003229363188044232,0.06978855272702421,0.03958914314184435,-0.2496480394207189,0.05172590202377097,0.9104095563139932,0.02138977148543891
pairs_trading,-0.14265825700799206,-0.006597170753691928,0.036645170424958566,-0.1622102478703483,-0.29113569247286275,0.06120662697533214,0.2559289955393022,-0.014592338340058129
