strategy,cost_bps,cumulative_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_turnover,avg_gross_exposure,avg_net_exposure
mean_reversion,0,4.561160437181494,0.07657590722566932,0.15005548152571407,0.5663849755905295,-0.3376240025772298,0.3390734733238473,0.5232081911262798,0.051692067361831
mean_reversion,2,2.737618539120837,0.058335924439164355,0.15006244335756289,0.45247741984218987,-0.41545053388654385,0.3390734733238473,0.5232081911262798,0.051692067361831
mean_reversion,5,1.0590502864895175,0.03154635669566974,0.15010610545442812,0.28157357406886957,-0.5154104509883116,0.3390734733238473,0.5232081911262798,0.051692067361831
mean_reversion,10,-0.23804881627027363,-0.01162337828907234,0.15026735516522682,-0.003043542198103718,-0.6812475226443515,0.3390734733238473,0.5232081911262798,0.051692067361831
mean_reversion,20,-0.8958348993341597,-0.09268371949601006,0.15092007030308835,-0.569201035631206,-0.9103649663490577,0.3390734733238473,0.5232081911262798,0.051692067361831
mean_reversion,50,-0.999737407936749,-0.29851742465963205,0.15544899804465945,-2.201644336418023,-0.9997551747803575,0.3390734733238473,0.5232081911262798,0.051692067361831
momentum,0,0.07052032783279971,0.0029347577433258554,0.06978073486583937,0.07695325186664301,-0.22389070079758322,0.05172590202377097,0.9104095563139932,0.02138977148543891
momentum,2,0.007536596867428136,0.0003229363188044232,0.06978855272702421,0.03958914314184435,-0.2496480394207189,0.05172590202377097,0.9104095563139932,0.02138977148543891
momentum,5,-0.08007309706892285,-0.00358267750466712,0.06980859199458787,-0.016439368803108683,-0.2938685971647942,0.05172590202377097,0.9104095563139932,0.02138977148543891
momentum,10,-0.20952079260912881,-0.010059845076008989,0.06986413354493211,-0.10971398993290643,-0.3657783256759587,0.05172590202377097,0.9104095563139932,0.02138977148543891
momentum,20,-0.41641944364360195,-0.022894322665222733,0.07005797371477188,-0.29546958121692807,-0.491386006799734,0.05172590202377097,0.9104095563139932,0.02138977148543891
momentum,50,-0.765458811732126,-0.06045567694698806,0.07129056894803457,-0.8388877093683206,-0.7660089706217827,0.05172590202377097,0.9104095563139932,0.02138977148543891
pairs_trading,0,-0.07889643214263842,-0.003527903055731696,0.03664671868242732,-0.07802630852453579,-0.25092144435494235,0.06120662697533214,0.2559289955393022,-0.014592338340058129
pairs_trading,2,-0.14265825700799206,-0.006597170753691928,0.036645170424958566,-0.1622102478703483,-0.29113569247286275,0.06120662697533214,0.2559289955393022,-0.014592338340058129
pairs_trading,5,-0.23014082194795282,-0.011184426312193296,0.03667045229442739,-0.28828232311782204,-0.3485816182819882,0.06120662697533214,0.2559289955393022,-0.014592338340058129
pairs_trading,10,-0.35660505129918685,-0.01878566324984221,0.036785976218558995,-0.49702305214035336,-0.43862122178980223,0.06120662697533214,0.2559289955393022,-0.014592338340058129
pairs_trading,20,-0.5507368613571229,-0.03382377195558561,0.03728830482682509,-0.9039710528660247,-0.5860881859793381,0.06120662697533214,0.2559289955393022,-0.014592338340058129
pairs_trading,50,-0.8473520970454216,-0.07764964302072164,0.04079151890320176,-1.9606957602397048,-0.8496785746063292,0.06120662697533214,0.2559289955393022,-0.014592338340058129
